location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-12,37,2026-05-18,2026-05-17,0.35,0.00,0.00,0.00,0.01
Umiat,Colville River,2026-04-12,45,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.00
Colville Village,Colville River,2026-04-12,53,2026-06-03,2026-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-12,35,2026-05-16,2026-05-16,0.40,0.00,0.00,0.00,0.01
Shungnak,Kobuk River,2026-04-12,37,2026-05-18,2026-05-17,0.41,0.00,0.00,0.00,0.00
Ambler,Kobuk River,2026-04-12,38,2026-05-19,2026-05-18,0.42,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2026-04-12,31,2026-05-12,2026-05-10,0.43,0.00,0.00,0.00,0.04
Bettles,Koyukuk River,2026-04-12,30,2026-05-11,2026-05-10,0.42,0.00,0.00,0.00,0.06
Hughes,Koyukuk River,2026-04-12,30,2026-05-11,2026-05-11,0.41,0.00,0.00,0.00,0.06
Nikolai,Kuskokwim River,2026-04-12,16,2026-04-27,2026-04-23,0.52,0.00,0.03,0.30,0.51
Sleetmute,Kuskokwim River,2026-04-12,26,2026-05-07,2026-05-04,0.44,0.00,0.00,0.02,0.17
Red Devil,Kuskokwim River,2026-04-12,26,2026-05-07,2026-05-05,0.43,0.00,0.00,0.02,0.17
Stony River,Kuskokwim River,2026-04-12,25,2026-05-06,2026-05-05,0.44,0.00,0.00,0.02,0.18
Crooked Creek,Kuskokwim River,2026-04-12,27,2026-05-08,2026-05-06,0.42,0.00,0.00,0.02,0.14
McGrath,Kuskokwim River,2026-04-12,27,2026-05-08,2026-05-06,0.44,0.00,0.00,0.01,0.11
Aniak,Kuskokwim River,2026-04-12,29,2026-05-10,2026-05-07,0.40,0.00,0.00,0.01,0.09
Kalskag,Kuskokwim River,2026-04-12,30,2026-05-11,2026-05-07,0.47,0.00,0.00,0.00,0.05
Tuluksak,Kuskokwim River,2026-04-12,30,2026-05-11,2026-05-08,0.43,0.00,0.00,0.00,0.06
Akiak,Kuskokwim River,2026-04-12,32,2026-05-13,2026-05-09,0.43,0.00,0.00,0.00,0.03
Bethel,Kuskokwim River,2026-04-12,32,2026-05-13,2026-05-10,0.37,0.00,0.00,0.00,0.04
Napakiak,Kuskokwim River,2026-04-12,35,2026-05-16,2026-05-10,0.41,0.00,0.00,0.00,0.01
Sunshine,Susitna River,2026-04-12,25,2026-05-06,2026-05-02,0.54,0.00,0.00,0.01,0.19
Fairbanks D-S of Chena R,Tanana River,2026-04-12,22,2026-05-03,2026-04-30,0.54,0.00,0.00,0.03,0.34
Nenana,Tanana River,2026-04-12,23,2026-05-04,2026-05-01,0.49,0.00,0.00,0.04,0.31
Manley Hot Springs,Tanana River,2026-04-12,24,2026-05-05,2026-05-04,0.44,0.00,0.00,0.03,0.22
Dawson,Yukon River,2026-04-12,25,2026-05-06,2026-05-05,0.56,0.00,0.00,0.00,0.12
Eagle,Yukon River,2026-04-12,26,2026-05-07,2026-05-05,0.51,0.00,0.00,0.01,0.14
Circle,Yukon River,2026-04-12,29,2026-05-10,2026-05-09,0.47,0.00,0.00,0.00,0.05
Fort Yukon,Yukon River,2026-04-12,30,2026-05-11,2026-05-10,0.47,0.00,0.00,0.00,0.03
Tanana,Yukon River,2026-04-12,30,2026-05-11,2026-05-10,0.48,0.00,0.00,0.00,0.04
Beaver,Yukon River,2026-04-12,31,2026-05-12,2026-05-11,0.56,0.00,0.00,0.00,0.00
Ruby,Yukon River,2026-04-12,31,2026-05-12,2026-05-11,0.46,0.00,0.00,0.00,0.03
Galena,Yukon River,2026-04-12,33,2026-05-14,2026-05-12,0.48,0.00,0.00,0.00,0.01
Rampart,Yukon River,2026-04-12,33,2026-05-14,2026-05-12,0.56,0.00,0.00,0.00,0.00
Stevens Village,Yukon River,2026-04-12,33,2026-05-14,2026-05-12,0.58,0.00,0.00,0.00,0.00
Nulato,Yukon River,2026-04-12,33,2026-05-14,2026-05-13,0.46,0.00,0.00,0.00,0.02
Holy Cross,Yukon River,2026-04-12,35,2026-05-16,2026-05-14,0.45,0.00,0.00,0.00,0.00
Kaltag,Yukon River,2026-04-12,34,2026-05-15,2026-05-14,0.44,0.00,0.00,0.00,0.01
Marshall,Yukon River,2026-04-12,36,2026-05-17,2026-05-15,0.42,0.00,0.00,0.00,0.01
Pilot Station,Yukon River,2026-04-12,37,2026-05-18,2026-05-15,0.38,0.00,0.00,0.00,0.01
Russian Mission,Yukon River,2026-04-12,37,2026-05-18,2026-05-15,0.44,0.00,0.00,0.00,0.00
Anvik,Yukon River,2026-04-12,36,2026-05-17,2026-05-16,0.43,0.00,0.00,0.00,0.00
Mountain Village,Yukon River,2026-04-12,39,2026-05-20,2026-05-17,0.40,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2026-04-12,42,2026-05-23,2026-05-21,0.38,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2026-04-12,43,2026-05-24,2026-05-22,0.39,0.00,0.00,0.00,0.00
