location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-04,46,2026-05-19,2026-05-17,0.35,0.00,0.00,0.00,0.00
Umiat,Colville River,2026-04-04,53,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.00
Colville Village,Colville River,2026-04-04,60,2026-06-02,2026-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-04,44,2026-05-17,2026-05-16,0.40,0.00,0.00,0.00,0.00
Shungnak,Kobuk River,2026-04-04,45,2026-05-18,2026-05-17,0.40,0.00,0.00,0.00,0.00
Ambler,Kobuk River,2026-04-04,47,2026-05-20,2026-05-18,0.42,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2026-04-04,38,2026-05-11,2026-05-10,0.41,0.00,0.00,0.00,0.00
Bettles,Koyukuk River,2026-04-04,37,2026-05-10,2026-05-10,0.41,0.00,0.00,0.00,0.00
Hughes,Koyukuk River,2026-04-04,38,2026-05-11,2026-05-11,0.40,0.00,0.00,0.00,0.00
Nikolai,Kuskokwim River,2026-04-04,24,2026-04-27,2026-04-23,0.43,0.00,0.00,0.04,0.24
Sleetmute,Kuskokwim River,2026-04-04,33,2026-05-06,2026-05-04,0.39,0.00,0.00,0.00,0.03
Red Devil,Kuskokwim River,2026-04-04,34,2026-05-07,2026-05-05,0.39,0.00,0.00,0.00,0.02
Stony River,Kuskokwim River,2026-04-04,33,2026-05-06,2026-05-05,0.42,0.00,0.00,0.00,0.03
Crooked Creek,Kuskokwim River,2026-04-04,35,2026-05-08,2026-05-06,0.40,0.00,0.00,0.00,0.02
McGrath,Kuskokwim River,2026-04-04,35,2026-05-08,2026-05-06,0.40,0.00,0.00,0.00,0.01
Aniak,Kuskokwim River,2026-04-04,36,2026-05-09,2026-05-07,0.37,0.00,0.00,0.00,0.01
Kalskag,Kuskokwim River,2026-04-04,37,2026-05-10,2026-05-07,0.40,0.00,0.00,0.00,0.01
Tuluksak,Kuskokwim River,2026-04-04,38,2026-05-11,2026-05-08,0.39,0.00,0.00,0.00,0.01
Akiak,Kuskokwim River,2026-04-04,39,2026-05-12,2026-05-09,0.37,0.00,0.00,0.00,0.00
Bethel,Kuskokwim River,2026-04-04,40,2026-05-13,2026-05-10,0.34,0.00,0.00,0.00,0.01
Napakiak,Kuskokwim River,2026-04-04,43,2026-05-16,2026-05-10,0.35,0.00,0.00,0.00,0.00
Sunshine,Susitna River,2026-04-04,32,2026-05-05,2026-05-02,0.49,0.00,0.00,0.00,0.01
Fairbanks D-S of Chena R,Tanana River,2026-04-04,29,2026-05-02,2026-04-30,0.48,0.00,0.00,0.00,0.05
Nenana,Tanana River,2026-04-04,31,2026-05-04,2026-05-01,0.45,0.00,0.00,0.00,0.04
Manley Hot Springs,Tanana River,2026-04-04,33,2026-05-06,2026-05-04,0.39,0.00,0.00,0.00,0.03
Dawson,Yukon River,2026-04-04,34,2026-05-07,2026-05-05,0.56,0.00,0.00,0.00,0.00
Eagle,Yukon River,2026-04-04,33,2026-05-06,2026-05-05,0.46,0.00,0.00,0.00,0.01
Circle,Yukon River,2026-04-04,37,2026-05-10,2026-05-09,0.46,0.00,0.00,0.00,0.00
Fort Yukon,Yukon River,2026-04-04,38,2026-05-11,2026-05-10,0.46,0.00,0.00,0.00,0.00
Tanana,Yukon River,2026-04-04,38,2026-05-11,2026-05-10,0.46,0.00,0.00,0.00,0.00
Beaver,Yukon River,2026-04-04,39,2026-05-12,2026-05-11,0.56,0.00,0.00,0.00,0.00
Ruby,Yukon River,2026-04-04,38,2026-05-11,2026-05-11,0.43,0.00,0.00,0.00,0.00
Galena,Yukon River,2026-04-04,40,2026-05-13,2026-05-12,0.45,0.00,0.00,0.00,0.00
Rampart,Yukon River,2026-04-04,41,2026-05-14,2026-05-12,0.55,0.00,0.00,0.00,0.00
Stevens Village,Yukon River,2026-04-04,41,2026-05-14,2026-05-12,0.56,0.00,0.00,0.00,0.00
Nulato,Yukon River,2026-04-04,40,2026-05-13,2026-05-13,0.42,0.00,0.00,0.00,0.00
Holy Cross,Yukon River,2026-04-04,44,2026-05-17,2026-05-14,0.42,0.00,0.00,0.00,0.00
Kaltag,Yukon River,2026-04-04,41,2026-05-14,2026-05-14,0.41,0.00,0.00,0.00,0.00
Marshall,Yukon River,2026-04-04,44,2026-05-17,2026-05-15,0.40,0.00,0.00,0.00,0.00
Pilot Station,Yukon River,2026-04-04,44,2026-05-17,2026-05-15,0.35,0.00,0.00,0.00,0.00
Russian Mission,Yukon River,2026-04-04,44,2026-05-17,2026-05-15,0.40,0.00,0.00,0.00,0.00
Anvik,Yukon River,2026-04-04,44,2026-05-17,2026-05-16,0.40,0.00,0.00,0.00,0.00
Mountain Village,Yukon River,2026-04-04,47,2026-05-20,2026-05-17,0.37,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2026-04-04,49,2026-05-22,2026-05-21,0.36,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2026-04-04,50,2026-05-23,2026-05-22,0.37,0.00,0.00,0.00,0.00
