# Cumulative DD25 averaged for Yukon River at Alakanuk
# Sites: NOME_AP, BETHEL_AP, CHICKEN, MCGRATH_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,7.67,0.00,0.00,,0.00,0.00,0.00,,0.83,0.00,0.00,,0.00,0.00,7.00,,0.00,0.00,0.00,,0.00,0.25,4.50,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,1.00,0.00,,0.00,0.00,3.12,,0.00,0.00,0.00,,0.00
61,0.00,9.33,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.83,0.00,0.00,0.00,0.00,0.00,11.17,6.17,0.00,0.00,0.00,0.25,0.00,0.25,13.25,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,2.38,2.75,0.00,1.12,4.25,0.00,0.00,0.12,0.00,0.00,0.00
62,0.00,9.33,0.00,0.00,0.00,0.83,0.00,0.00,2.83,0.83,0.00,0.67,0.00,0.00,0.00,14.50,11.33,0.00,0.00,0.00,0.38,0.00,0.25,17.38,6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,5.00,5.38,0.00,1.12,4.62,0.00,0.00,1.75,0.00,0.00,1.38
63,2.83,9.33,0.33,0.00,0.00,3.83,0.00,0.00,2.83,0.83,0.00,0.67,0.00,0.00,0.00,14.50,17.00,0.00,0.00,0.00,0.38,2.38,0.25,17.38,7.38,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.38,1.62,7.75,5.62,0.00,2.25,8.38,0.00,0.00,6.62,0.00,0.00,1.88
64,5.33,9.33,1.67,0.00,0.00,7.67,0.00,0.00,3.17,0.83,0.00,0.67,0.00,0.00,0.00,14.50,20.33,0.00,2.00,0.00,1.75,4.38,0.25,17.38,7.75,0.00,0.00,0.00,1.38,1.88,0.00,0.00,0.00,4.88,1.62,9.12,5.62,0.00,4.38,11.12,0.00,0.00,6.62,3.38,1.00,6.75
65,8.50,10.17,4.50,1.33,3.33,7.67,0.00,0.00,3.17,0.83,0.00,4.67,0.00,0.00,0.00,14.50,21.50,0.00,3.75,0.00,5.50,6.25,0.25,17.38,7.75,1.00,0.00,0.00,5.50,1.88,0.00,0.00,0.00,7.00,1.62,10.88,5.62,0.00,7.62,12.50,0.00,0.00,6.62,8.50,1.50,9.12
66,11.67,10.17,10.00,1.33,13.17,7.67,0.00,0.00,3.17,1.17,0.00,5.33,0.00,0.00,0.00,14.50,21.67,0.00,6.00,0.00,9.75,6.25,0.25,17.38,7.75,2.62,0.00,0.00,6.88,1.88,0.00,0.00,0.00,12.00,1.62,11.50,5.62,0.00,9.25,14.62,0.00,1.75,7.75,12.62,1.50,9.12
67,15.50,10.17,14.33,1.33,21.67,9.50,0.00,2.50,3.17,1.83,0.00,5.33,0.00,0.00,0.00,14.50,22.83,0.00,8.25,0.00,12.88,7.12,0.25,17.62,7.75,2.62,0.00,0.00,8.62,4.25,0.00,0.00,0.00,16.25,1.62,11.50,5.62,0.00,9.25,18.12,0.00,2.00,11.38,14.88,1.50,9.12
68,17.50,11.33,17.50,1.33,26.50,11.33,0.00,7.00,3.17,3.50,0.00,5.33,0.00,0.00,0.00,14.50,23.67,0.00,8.50,0.00,16.12,7.50,0.25,18.75,7.75,4.00,0.00,0.00,11.00,6.12,0.00,0.00,0.00,16.50,1.62,11.50,5.62,0.00,9.25,22.38,0.00,2.00,14.25,14.88,1.50,9.62
69,18.17,11.50,18.17,1.33,37.83,12.67,0.00,10.50,3.17,3.50,0.00,5.33,0.00,0.00,2.33,14.50,23.67,0.00,8.50,0.00,18.50,7.50,0.25,18.75,7.75,4.00,0.00,0.00,11.00,8.00,0.00,0.00,0.00,16.50,1.62,11.50,5.62,0.00,9.25,27.50,0.00,2.00,15.25,14.88,1.50,10.00
70,18.17,11.50,18.17,1.33,44.33,12.67,0.00,11.67,8.50,3.50,0.00,6.17,3.00,0.00,4.83,14.50,23.67,0.00,8.50,0.00,18.50,7.88,0.25,18.75,8.38,5.50,0.00,0.00,11.00,8.00,0.00,0.00,0.00,16.50,1.62,11.50,5.62,0.00,9.25,30.62,0.00,2.00,15.50,14.88,1.50,10.00
71,18.17,15.17,18.17,1.33,48.33,13.67,0.00,11.67,13.83,3.50,0.00,7.67,3.00,0.00,4.83,14.50,23.67,0.00,9.88,0.00,18.50,7.88,0.25,18.75,11.75,9.75,0.00,0.00,11.50,8.00,0.00,0.00,0.00,16.50,1.62,11.50,5.62,0.00,9.25,33.12,0.00,2.00,15.50,14.88,1.50,10.00
72,18.17,20.33,18.17,1.33,51.33,13.67,0.00,11.67,17.33,3.50,0.00,7.67,3.00,0.00,4.83,14.50,24.33,0.00,13.38,0.00,19.38,7.88,0.25,18.75,12.62,14.88,0.00,0.00,11.50,8.00,0.00,0.00,0.00,16.50,4.12,11.50,5.62,0.00,9.25,36.12,0.00,2.00,15.50,14.88,1.50,10.00
