location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-06,41,2024-05-15,05-15,0.35,0.00,0.00,0.00
Fairbanks,Chena River,2024-04-06,17,2024-04-21,04-24,0.42,0.01,0.06,0.41
Northway,Chisana River,2024-04-06,20,2024-04-24,04-23,0.57,0.00,0.00,0.54
Gakona,Gakona River,2024-04-06,27,2024-05-01,04-29,0.27,0.00,0.02,0.19
Gakona,Gulkana River,2024-04-06,26,2024-04-30,04-28,0.30,0.00,0.02,0.21
Kobuk,Kobuk River,2024-04-06,39,2024-05-13,05-13,0.40,0.00,0.00,0.00
Shungnak,Kobuk River,2024-04-06,41,2024-05-15,05-15,0.40,0.00,0.00,0.00
Ambler,Kobuk River,2024-04-06,41,2024-05-15,05-16,0.42,0.00,0.00,0.00
Bettles,Koyukuk River,2024-04-06,35,2024-05-09,05-07,0.42,0.00,0.00,0.02
Allakaket,Koyukuk River,2024-04-06,36,2024-05-10,05-08,0.42,0.00,0.00,0.01
Hughes,Koyukuk River,2024-04-06,35,2024-05-09,05-08,0.40,0.00,0.00,0.02
Nikolai,Kuskokwim River,2024-04-06,14,2024-04-18,04-20,0.44,0.02,0.11,0.37
Sleetmute,Kuskokwim River,2024-04-06,27,2024-05-01,05-02,0.40,0.00,0.00,0.18
Stony River,Kuskokwim River,2024-04-06,29,2024-05-03,05-02,0.42,0.00,0.00,0.10
Red Devil,Kuskokwim River,2024-04-06,28,2024-05-02,05-03,0.40,0.00,0.00,0.14
McGrath,Kuskokwim River,2024-04-06,29,2024-05-03,05-04,0.41,0.00,0.00,0.11
Crooked Creek,Kuskokwim River,2024-04-06,31,2024-05-05,05-04,0.40,0.00,0.00,0.08
Aniak,Kuskokwim River,2024-04-06,31,2024-05-05,05-05,0.38,0.00,0.00,0.08
Kalskag,Kuskokwim River,2024-04-06,30,2024-05-04,05-05,0.41,0.00,0.00,0.10
Tuluksak,Kuskokwim River,2024-04-06,32,2024-05-06,05-06,0.39,0.00,0.00,0.05
Akiak,Kuskokwim River,2024-04-06,33,2024-05-07,05-07,0.38,0.00,0.00,0.05
Bethel,Kuskokwim River,2024-04-06,34,2024-05-08,05-07,0.35,0.00,0.00,0.05
Sunshine,Susitna River,2024-04-06,26,2024-04-30,04-29,0.50,0.00,0.00,0.17
Nenana,Tanana River,2024-04-06,24,2024-04-28,04-29,0.45,0.00,0.00,0.29
Manley Hot Springs,Tanana River,2024-04-06,26,2024-04-30,05-01,0.40,0.00,0.00,0.19
Lake Creek,Yentna River,2024-04-06,25,2024-04-29,04-29,0.58,0.00,0.00,0.21
Dawson,Yukon River,2024-04-06,30,2024-05-04,05-03,0.56,0.00,0.00,0.03
Eagle,Yukon River,2024-04-06,29,2024-05-03,05-03,0.47,0.00,0.00,0.07
Circle,Yukon River,2024-04-06,34,2024-05-08,05-07,0.47,0.00,0.00,0.01
Tanana,Yukon River,2024-04-06,34,2024-05-08,05-07,0.47,0.00,0.00,0.01
Fort Yukon,Yukon River,2024-04-06,35,2024-05-09,05-08,0.47,0.00,0.00,0.01
Ruby,Yukon River,2024-04-06,36,2024-05-10,05-09,0.44,0.00,0.00,0.01
Galena,Yukon River,2024-04-06,37,2024-05-11,05-10,0.46,0.00,0.00,0.00
Kaltag,Yukon River,2024-04-06,37,2024-05-11,05-11,0.42,0.00,0.00,0.01
Holy Cross,Yukon River,2024-04-06,38,2024-05-12,05-12,0.42,0.00,0.00,0.00
Marshall,Yukon River,2024-04-06,40,2024-05-14,05-12,0.40,0.00,0.00,0.00
Russian Mission,Yukon River,2024-04-06,38,2024-05-12,05-12,0.40,0.00,0.00,0.01
Anvik,Yukon River,2024-04-06,38,2024-05-12,05-14,0.41,0.00,0.00,0.01
Mountain Village,Yukon River,2024-04-06,39,2024-05-13,05-14,0.38,0.00,0.00,0.01
Emmonak,Yukon River,2024-04-06,46,2024-05-20,05-18,0.36,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-06,46,2024-05-20,05-19,0.36,0.00,0.00,0.00
