location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-23,-7,2024-05-15,05-15,0.95,0.51,0.44,0.05,0.00
Northway,Chisana River,2024-05-23,-28,2024-04-24,04-23,1.00,0.99,0.01,0.00,0.00
Gakona,Gulkana River,2024-05-23,-22,2024-04-30,04-28,0.96,0.56,0.40,0.04,0.00
Kobuk,Kobuk River,2024-05-23,-8,2024-05-14,05-13,1.00,0.74,0.26,0.00,0.00
Shungnak,Kobuk River,2024-05-23,-7,2024-05-15,05-15,1.00,0.71,0.28,0.00,0.00
Ambler,Kobuk River,2024-05-23,-6,2024-05-16,05-16,0.96,0.51,0.44,0.04,0.00
Bettles,Koyukuk River,2024-05-23,-13,2024-05-09,05-07,1.00,0.83,0.17,0.00,0.00
Allakaket,Koyukuk River,2024-05-23,-12,2024-05-10,05-08,1.00,0.80,0.20,0.00,0.00
Hughes,Koyukuk River,2024-05-23,-12,2024-05-10,05-08,1.00,0.90,0.10,0.00,0.00
Tuluksak,Kuskokwim River,2024-05-23,-14,2024-05-08,05-06,1.00,0.91,0.09,0.00,0.00
Akiak,Kuskokwim River,2024-05-23,-13,2024-05-09,05-07,1.00,0.91,0.09,0.00,0.00
Manley Hot Springs,Tanana River,2024-05-23,-19,2024-05-03,05-01,1.00,0.96,0.04,0.00,0.00
Tanana,Yukon River,2024-05-23,-13,2024-05-09,05-07,1.00,0.93,0.07,0.00,0.00
Ruby,Yukon River,2024-05-23,-12,2024-05-10,05-09,1.00,0.97,0.03,0.00,0.00
Kaltag,Yukon River,2024-05-23,-9,2024-05-13,05-11,1.00,0.94,0.06,0.00,0.00
Holy Cross,Yukon River,2024-05-23,-9,2024-05-13,05-12,1.00,0.97,0.03,0.00,0.00
Marshall,Yukon River,2024-05-23,-7,2024-05-15,05-12,1.00,0.84,0.16,0.00,0.00
Russian Mission,Yukon River,2024-05-23,-8,2024-05-14,05-12,1.00,0.79,0.20,0.00,0.00
Anvik,Yukon River,2024-05-23,-9,2024-05-13,05-14,1.00,0.90,0.10,0.00,0.00
Mountain Village,Yukon River,2024-05-23,-6,2024-05-16,05-14,1.00,0.78,0.22,0.00,0.00
Emmonak,Yukon River,2024-05-23,-3,2024-05-19,05-18,1.00,0.67,0.32,0.00,0.00
Alakanuk,Yukon River,2024-05-23,-1,2024-05-21,05-19,0.99,0.54,0.45,0.01,0.00
