# FAIRBANKS_INTL_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,4.00,0.00,0.00,0.00,0.00,1.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,5.50,0.00,0.00,2.00,0.00,0.00,0.00,9.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,5.50,0.00,0.00,8.00,0.00,0.00,0.00,13.50,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.50,0.00,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,5.50,0.00,0.00,9.50,0.00,0.00,0.00,13.50,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.50,0.00,0.00,17.50,0.00,0.00,0.00,0.00,3.00,0.00,9.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00
8,0.00,7.50,0.00,0.00,20.50,0.00,0.00,0.00,13.50,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.50,0.00,0.00,20.50,0.00,0.00,0.00,0.00,3.00,0.00,9.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00
9,0.00,7.50,0.00,0.00,30.50,7.00,0.00,0.00,28.50,0.00,4.00,0.00,8.00,0.00,0.00,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,4.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,3.00,0.00,9.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,1.00,0.00
